LAT,LON
40.591374,-74.754135
29.818482,-95.433053
29.726048,-95.512583
41.1754,-73.7573
35.9284,-81.2789
45.836686,-119.270238
38.307597,-86.867234
33.397033,-104.532085
39.6527,-77.1714
39.79,-86.8007
37.385422,-100.194895
39.9394,-75.1655
29.1959,-81.0272
31.391031,-100.402958
34.144325,-79.020468
30.67201,-81.454429
38.57755,-90.518481
40.5892,-74.4124
36.042391,-115.080982
33.8857,-84.1002
37.9632,-97.1458
42.369356,-74.509075
33.895375,-83.108749
39.854529,-83.067009
31.973712,-95.287586
27.496658,-82.601617
41.314671,-111.961387
44.451148,-108.433748
41.776486,-87.804451
36.60121,-121.866881
33.730073,-118.299349
46.3794,-120.7321
30.211221,-95.517395
35.053467,-80.93332
42.1043,-80.0628
42.476211,-96.174898
34.758513,-82.415776
40.6505,-74.2121
29.9714,-93.9953
30.441943,-88.893685
34.164116,-118.227573
35.64,-77.9384
40.3298,-79.9705
42.27619,-88.15681
32.80707,-117.148872
35.180699,-107.798101
35.7475,-79.6935
47.2925,-122.5936
41.871946,-80.816774
43.667227,-71.490381
38.199638,-122.71578
42.389361,-83.046303
41.318436,-72.325323
36.575363,-89.585953
27.962882,-82.445747
34.4638,-114.2713
35.327161,-120.832491
36.140989,-82.868191
29.687533,-95.512883
34.667874,-92.390846
38.3801,-76.7161
45.0062,-123.0397
33.609807,-91.812778
43.279135,-76.148305
29.671477,-95.501674
38.654625,-121.546658
29.424892,-98.539965
34.0318,-118.4769
39.909173,-82.733666
33.7119,-84.7526
39.020601,-84.608425
42.350353,-71.145895
27.487207,-81.431602
43.17937,-89.266301
37.437661,-83.985862
31.426806,-100.485962
34.0145,-117.3258
41.596451,-73.880277
40.670896,-73.907818
40.230437,-78.822005
37.0948,-81.7803
41.96291,-79.203177
27.881411,-81.819562
41.690449,-93.822966
40.7865,-77.8073
35.2105,-81.0837
48.220111,-97.791335
42.089042,-88.842488
42.187638,-86.250851
40.6044,-73.9552
47.66529,-117.224941
41.620818,-93.532999
36.115832,-115.109201
34.417788,-117.577601
36.3414,-95.8313
40.666139,-73.87634
45.164135,-67.24213
33.5089,-112.0902
35.547655,-97.610557
36.2544,-83.2039
35.7807,-79.3666
43.397104,-97.139844
35.438535,-80.728023
38.0044,-121.7189
41.7298,-87.655
38.4649,-77.4489
32.790236,-116.944118
41.829346,-71.427507
47.1947,-122.2322
40.7409,-89.0201
33.307596,-86.782184
35.980827,-84.110869
42.9779,-83.6154
40.197851,-93.125903
43.514386,-116.55896
26.750378,-80.06348
42.605499,-94.997898
30.61752,-97.204731
39.8965,-74.8059
29.890602,-95.649433
32.565204,-96.941944
34.21711,-118.538756
32.155093,-98.024376
25.804119,-80.202658
26.4537,-80.0864
37.9798,-87.3835
36.976882,-120.609053
35.3159,-78.6176
37.711144,-113.062692
33.7881,-85.7784
43.1925,-88.9922
33.991294,-81.338164
35.447701,-100.27348
41.393655,-81.81794
43.66948,-111.934209
27.949711,-97.590623
40.335141,-76.473241
34.600699,-92.324115
43.022,-74.3733
34.10892,-118.041903
42.3349,-76.7928
42.586291,-71.977448
47.7412,-122.0429
34.621205,-120.207026
44.783271,-93.554658
41.5686,-87.5147
43.3877,-84.6578
41.5803,-87.2324
41.520117,-87.967627
27.299188,-80.395561
33.50987,-116.12776
37.0966,-86.0464
48.600761,-112.603046
35.484,-97.6135
44.078044,-93.501706
33.766091,-118.31598
35.7981,-89.15
41.137281,-112.029729
33.8506,-118.3641
41.2051,-73.8833
36.2575,-77.9424
13.397007,144.678686
32.752207,-96.806882
47.106894,-119.266674
36.0435,-90.291876
41.0209,-73.7591
40.7425,-75.2982
35.36932,-119.022905
34.877546,-89.687192
18.177336,-65.867254
40.8071,-74.2604
40.534082,-75.062267
33.835374,-117.913275
29.751544,-95.328853
36.382554,-94.216407
31.473408,-98.151493
